timestamp,level,service,message,kubernetes\.pod_name,kubernetes\.namespace
"Apr 16, 2026 @ 14:05:13.001",INFO,app,Starting application version 2.4.1,app-6d7b8c9d0e-fghij,example-ns
"Apr 16, 2026 @ 14:05:13.224",INFO,auth-service,JWT verified for user user-42,auth-5c6d7e8f9a-bcdef,example-ns
"Apr 16, 2026 @ 14:05:14.110",INFO,order-service,Order ORD-9001 created for user user-42,order-4b5c6d7e8f-ghijk,example-ns
"Apr 16, 2026 @ 14:05:15.300",INFO,payment-service,Payment initiated for order ORD-9001 amount 49.99 USD,payment-3a4b5c6d7e-hijkl,example-ns
"Apr 16, 2026 @ 14:05:16.850",WARN,payment-service,"Payment gateway response timeout after 1500ms, retrying (attempt 1/3)",payment-3a4b5c6d7e-hijkl,example-ns
"Apr 16, 2026 @ 14:05:17.950",INFO,payment-service,Payment authorised txnId=TXN-55512,payment-3a4b5c6d7e-hijkl,example-ns
"Apr 16, 2026 @ 14:05:18.440",INFO,order-service,Order ORD-9001 confirmed and dispatched to fulfilment,order-4b5c6d7e8f-ghijk,example-ns
"Apr 16, 2026 @ 14:07:20.480",DEBUG,order-service,Cache miss for key orders:ORD-9001 loading from DB,order-4b5c6d7e8f-ghijk,example-ns
"Apr 16, 2026 @ 14:08:00.500",ERROR,payment-service,Failed to reach payment gateway,payment-3a4b5c6d7e-hijkl,example-ns
"Apr 16, 2026 @ 14:09:45.123",WARN,auth-service,Access token expired for user user-17 refreshing,auth-5c6d7e8f9a-bcdef,example-ns
