"@timestamp","kubernetes.labels.app_kubernetes_io/name","log"
"Jun 1, 2026 @ 10:00:00.001","auth-service","2026-06-01 10:00:00.001  INFO [executor-thread-1] c.example.auth.SessionService: [traceId=3fa85f64573c1d80] User 11111 authenticated successfully"
"Jun 1, 2026 @ 10:00:00.120","order-service","2026-06-01 10:00:00.120  INFO [executor-thread-4] c.example.order.OrderController: [traceId=3fa85f64573c1d80] POST /orders received for account 11111"
"Jun 1, 2026 @ 10:00:00.145","order-service","2026-06-01 10:00:00.145  INFO [executor-thread-4] c.example.order.CartService: [traceId=3fa85f64573c1d80] Cart 22222 contains 3 items, total 99.99 USD"
"Jun 1, 2026 @ 10:00:00.200","payment-service","2026-06-01 10:00:00.200  INFO [executor-thread-7] c.example.payment.GatewayClient: [traceId=3fa85f64573c1d80] Initiating charge for order 22222 via gateway"
"Jun 1, 2026 @ 10:00:00.530","payment-service","2026-06-01 10:00:00.530  ERROR [executor-thread-7] c.example.payment.GatewayClient: [traceId=3fa85f64573c1d80] Gateway timeout after 330ms — order 22222 payment failed"
"Jun 1, 2026 @ 10:00:00.535","payment-service","2026-06-01 10:00:00.535  WARN [executor-thread-7] c.example.payment.RetryScheduler: [traceId=3fa85f64573c1d80] Scheduling retry #1 for order 22222 in 5000ms"
"Jun 1, 2026 @ 10:00:01.800","auth-service","2026-06-01 10:00:01.800  INFO [executor-thread-2] c.example.auth.TokenService: [traceId=9b1d3e72a04fc815] Refreshed access token for account 33333"
"Jun 1, 2026 @ 10:00:02.010","order-service","2026-06-01 10:00:02.010  DEBUG [executor-thread-5] c.example.order.CacheLoader: [traceId=9b1d3e72a04fc815] Cache miss for product 44444 — loading from database"
"Jun 1, 2026 @ 10:00:02.180","order-service","2026-06-01 10:00:02.180  INFO [executor-thread-5] c.example.order.CacheLoader: [traceId=9b1d3e72a04fc815] Loaded product 44444 in 170ms, stored in cache"
"Jun 1, 2026 @ 10:00:05.540","payment-service","2026-06-01 10:00:05.540  INFO [executor-thread-8] c.example.payment.RetryScheduler: [traceId=3fa85f64573c1d80] Retry #1 succeeded — order 22222 payment confirmed"
