_index,_id,_source.@timestamp,_source.timestamp,_source.level,_source.service,_source.message,_source.logger,_source.mdc.traceId,_source.mdc.spanId,_source.kubernetes.pod_name,_source.kubernetes.namespace_name,_source.kubernetes.labels.app_kubernetes_io/name
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA001,"Apr 16, 2026 @ 14:05:13.001",2026-04-16T14:05:13.001Z,INFO,app,Starting application version 2.4.1,com.example.app.Application,,,app-6d7b8c9d0e-fghij,example-ns,app
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA002,"Apr 16, 2026 @ 14:05:13.224",2026-04-16T14:05:13.224Z,INFO,auth-service,JWT verified for user user-42,com.example.auth.JwtFilter,3fa85f64573c1d80,a1b2c3d4e5f60001,auth-5c6d7e8f9a-bcdef,example-ns,auth-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA003,"Apr 16, 2026 @ 14:05:14.110",2026-04-16T14:05:14.110Z,INFO,order-service,Order ORD-9001 created for user user-42,com.example.order.OrderController,3fa85f64573c1d80,a1b2c3d4e5f60002,order-4b5c6d7e8f-ghijk,example-ns,order-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA004,"Apr 16, 2026 @ 14:05:15.300",2026-04-16T14:05:15.300Z,INFO,payment-service,Payment initiated for order ORD-9001 amount 49.99 USD,com.example.payment.PaymentService,3fa85f64573c1d80,a1b2c3d4e5f60003,payment-3a4b5c6d7e-hijkl,example-ns,payment-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA005,"Apr 16, 2026 @ 14:05:16.850",2026-04-16T14:05:16.850Z,WARN,payment-service,"Payment gateway response timeout after 1500ms, retrying (attempt 1/3)",com.example.payment.PaymentGateway,3fa85f64573c1d80,a1b2c3d4e5f60003,payment-3a4b5c6d7e-hijkl,example-ns,payment-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA006,"Apr 16, 2026 @ 14:05:17.950",2026-04-16T14:05:17.950Z,INFO,payment-service,Payment authorised txnId=TXN-55512,com.example.payment.PaymentGateway,3fa85f64573c1d80,a1b2c3d4e5f60003,payment-3a4b5c6d7e-hijkl,example-ns,payment-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA007,"Apr 16, 2026 @ 14:05:18.440",2026-04-16T14:05:18.440Z,INFO,order-service,Order ORD-9001 confirmed and dispatched to fulfilment,com.example.order.OrderService,3fa85f64573c1d80,a1b2c3d4e5f60002,order-4b5c6d7e8f-ghijk,example-ns,order-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA008,"Apr 16, 2026 @ 14:07:20.480",2026-04-16T14:07:20.480Z,DEBUG,order-service,Cache miss for key orders:ORD-9001 loading from DB,com.example.order.cache.CacheLoader,7c8d9e0f1a2b3c4d,b1b2b3b4b5b60001,order-4b5c6d7e8f-ghijk,example-ns,order-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA009,"Apr 16, 2026 @ 14:08:00.500",2026-04-16T14:08:00.500Z,ERROR,payment-service,Failed to reach payment gateway,com.example.payment.PaymentGateway,9a0b1c2d3e4f5060,c1c2c3c4c5c60001,payment-3a4b5c6d7e-hijkl,example-ns,payment-service
logs-example-2026.04.16,aAAAAAAAAAAAAAAAA010,"Apr 16, 2026 @ 14:09:45.123",2026-04-16T14:09:45.123Z,WARN,auth-service,Access token expired for user user-17 refreshing,com.example.auth.TokenValidator,1e2f3a4b5c6d7e8f,d1d2d3d4d5d60001,auth-5c6d7e8f9a-bcdef,example-ns,auth-service
