timestamp,level,service,thread,logger,message,exception,mdc.traceId,mdc.spanId
2026-04-16T14:05:13.001Z,INFO,app,main,com.example.app.Application,Starting application version 2.4.1,,,
2026-04-16T14:05:13.224Z,INFO,auth-service,http-nio-8080-exec-1,com.example.auth.JwtFilter,JWT verified for user user-42,,3fa85f64573c1d80,a1b2c3d4e5f60001
2026-04-16T14:05:14.110Z,INFO,order-service,http-nio-8081-exec-3,com.example.order.OrderController,Order ORD-9001 created for user user-42,,3fa85f64573c1d80,a1b2c3d4e5f60002
2026-04-16T14:05:15.300Z,INFO,payment-service,http-nio-8082-exec-2,com.example.payment.PaymentService,Payment initiated for order ORD-9001 amount 49.99 USD,,3fa85f64573c1d80,a1b2c3d4e5f60003
2026-04-16T14:05:16.850Z,WARN,payment-service,http-nio-8082-exec-2,com.example.payment.PaymentGateway,"Payment gateway response timeout after 1500ms, retrying (attempt 1/3)",,3fa85f64573c1d80,a1b2c3d4e5f60003
2026-04-16T14:05:17.950Z,INFO,payment-service,http-nio-8082-exec-2,com.example.payment.PaymentGateway,Payment authorised txnId=TXN-55512,,3fa85f64573c1d80,a1b2c3d4e5f60003
2026-04-16T14:05:18.440Z,INFO,order-service,http-nio-8081-exec-3,com.example.order.OrderService,Order ORD-9001 confirmed and dispatched to fulfilment,,3fa85f64573c1d80,a1b2c3d4e5f60002
2026-04-16T14:07:20.480Z,DEBUG,order-service,cache-worker-1,com.example.order.cache.CacheLoader,Cache miss for key orders:ORD-9001 loading from DB,,7c8d9e0f1a2b3c4d,b1b2b3b4b5b60001
2026-04-16T14:08:00.500Z,ERROR,payment-service,retry-scheduler-1,com.example.payment.PaymentGateway,Failed to reach payment gateway,"java.net.ConnectException: Connection refused\n\tat com.example.payment.HttpClient.post(HttpClient.java:112)\n\tat com.example.payment.PaymentGateway.charge(PaymentGateway.java:58)",9a0b1c2d3e4f5060,c1c2c3c4c5c60001
2026-04-16T14:09:45.123Z,WARN,auth-service,http-nio-8080-exec-5,com.example.auth.TokenValidator,Access token expired for user user-17 refreshing,,1e2f3a4b5c6d7e8f,d1d2d3d4d5d60001
